65,86,66,72,63,80,69,74,65,81,65,72,65,82,66,74,64,83,68,74,65,86,71,81,66,89,66,78,65,86,71,82,65,88,71,80,67,89,73,81,70,89,72,83,67,89,72,82,66,89,72,81,66,89,74,83,66,88,73,83,71,89,73,86,69,51,43,63,83,52,36,45,63,50,43,63,79,60,52,71,90,75,63,80,90,65,60,73,89,62,50,63,80,57,47,63,80,57,50,63,82,57,49,63,83,57,49,61,71,92,89,89,71,90,90,91,89,90,71,75,63,83,65,65,61,65,61,64,61,66,62,65,61,71,63,66,61,71,62,65,61,65,59,63,55,63,59,61,58,63,60,63,59,69,61,67,61,68,61,63,59,68,61,61,57,63,59,61,55,61,56,61,55,63,59,61,57,63,60,62,58,63,59,62,55,63,60,62,59,63,59,61,59,64,61,63,58,66,60,63,58,65,59,61,59,65,60,61,59,66,61,64,59,69,61,64,59,69,61,64,59,71,61,63,60,70,61,65,61,72,61,67,60,71,61,63,61,71,63,68,61,69,61,70,61,72,63,69,61,76,63,70,61,72,63,69
60,78,62,62,58,70,62,65,60,69,59,63,59,77,60,62,58,69,60,63,58,65,60,62,59,68,60,62,58,66,60,63,58,64,58,60,58,63,58,60,58,64,58,62,57,63,58,60,57,62,58,62,58,63,58,63,57,68,60,62,59,68,59,64,58,37,33,54,60,34,31,34,54,34,33,46,60,40,34,58,75,55,47,60,79,56,42,58,72,54,37,57,68,54,39,54,63,49,40,58,68,48,40,58,69,48,35,54,60,87,79,74,60,82,82,86,78,88,64,69,62,74,62,65,59,63,58,63,57,68,60,63,60,70,62,66,60,72,62,67,61,71,61,64,60,69,62,64,61,74,62,70,62,76,64,78,64,80,64,70,62,79,64,68,62,72,62,71,62,72,62,68,62,79,64,70,62,79,64,80,64,84,67,72,62,84,69,73,65,83,65,82,64,85,70,79,67,88,70,83,64,88,67,81,65,86,70,80,67,85,72,82,64,88,70,79,70,88,73,85,70,87,72,85,72,88,70,84,67,88,72,83,70,88,72,82,70,87,74,85,65,86,70,85,70,88,70,84,70,88,73,84,72,88,75,85
66,89,76,81,65,86,73,86,65,85,70,80,65,88,70,79,66,87,72,87,68,85,74,85,71,88,72,84,65,88,73,81,66,87,70,80,68,85,70,79,65,84,70,79,64,85,68,80,64,84,67,80,64,85,68,82,64,85,64,74,64,79,65,80,62,40,35,60,74,40,35,39,60,39,36,58,65,56,45,65,88,62,58,65,86,62,56,62,82,59,42,61,76,50,38,56,70,56,45,61,78,53,42,62,85,56,42,57,65,91,88,88,64,88,88,91,88,89,71,78,62,81,64,64,57,64,60,63,60,67,61,64,60,79,62,70,62,74,62,66,61,71,62,65,61,73,62,65,62,71,62,70,62,73,64,70,62,74,64,69,60,70,62,64,60,66,60,63,60,64,60,62,60,66,60,63,60,67,62,66,60,68,61,62,59,68,62,65,60,67,62,64,61,71,62,64,60,69,62,65,60,72,62,65,60,70,62,64,60,67,62,64,60,70,62,65,60,71,62,67,60,72,62,65,61,72,62,66,60,73,62,67,62,74,62,67,62,70,64,67,62,72,62,70,62,74,62,65,61,70,64,70,62,74,62,64
63,86,71,71,62,84,70,78,63,80,64,80,63,86,68,78,67,86,71,84,68,87,71,85,71,86,78,86,70,87,78,86,71,87,79,84,73,86,78,86,71,86,80,86,74,88,83,85,77,87,80,86,76,87,81,86,76,87,82,86,80,86,85,86,80,54,47,62,86,54,34,52,62,54,47,60,86,60,58,77,88,78,62,83,88,63,60,79,88,62,58,68,86,60,54,66,86,60,54,69,86,60,57,68,87,60,54,62,86,97,88,88,86,89,89,99,88,90,87,87,86,88,84,84,62,83,68,83,63,86,68,79,63,86,74,85,70,86,74,83,68,86,70,83,68,86,70,83,68,86,73,83,71,87,77,84,69,86,70,83,65,83,68,77,62,76,62,66,60,71,60,68,60,74,62,68,60,77,62,71,60,82,62,66,60,74,62,68,60,70,60,66,60,73,60,63,59,71,60,63,58,65,60,63,60,67,60,63,58,68,60,62,58,68,60,62,58,68,60,62,58,67,60,65,59,73,61,67,60,75,62,68,60,73,62,68,60,76,62,68,60,73,62,71,59,76,67,70,64,81,66,68,64,81,65,74
63,80,65,71,61,79,63,70,62,72,63,71,63,77,63,71,63,81,66,75,65,83,65,75,63,81,68,75,63,80,67,71,63,80,66,73,63,83,65,75,65,82,65,71,63,81,65,72,63,80,66,73,63,77,65,74,63,83,65,71,65,80,65,77,65,43,36,60,69,44,36,38,61,39,37,61,71,57,42,63,89,62,57,63,89,61,56,64,85,61,44,62,80,57,47,62,74,57,47,63,80,57,50,63,81,57,44,62,73,92,89,89,66,90,90,92,89,91,78,89,71,89,71,81,65,74,65,72,63,80,71,79,66,89,73,85,71,89,80,89,74,89,73,89,66,89,73,86,71,89,80,89,78,90,86,90,88,91,89,90,84,91,82,89,79,89,83,89,72,89,71,86,72,89,78,89,72,90,82,89,80,90,86,89,75,90,89,89,78,90,85,90,84,91,86,90,80,91,86,89,73,90,86,89,71,90,83,89,73,89,82,89,76,89,85,89,80,90,87,89,79,91,86,89,81,90,86,89,80,90,86,89,76,90,86,89,76,90,83,89,77,89,81,89,76,89,82,89,71,90,80,88,74,89,78,89
62,82,63,68,62,71,63,71,61,71,63,66,63,77,63,70,62,75,65,73,63,80,63,67,63,78,65,71,63,76,65,67,63,80,65,71,63,80,65,66,63,74,63,69,63,75,65,71,63,80,63,69,63,74,65,74,63,77,63,71,63,76,65,72,63,39,36,57,66,41,36,37,59,39,37,57,67,52,41,63,87,62,56,64,87,61,55,63,83,57,43,60,72,57,43,60,71,56,44,62,78,53,41,60,70,54,40,59,67,89,87,84,63,87,87,89,87,88,75,77,61,83,61,64,59,64,60,63,59,69,61,69,61,79,63,71,61,79,63,71,61,80,63,69,61,73,63,73,63,81,64,71,63,87,69,81,63,87,69,83,64,84,65,73,63,83,63,73,63,79,62,75,61,83,66,72,63,84,67,78,64,84,69,78,63,84,72,84,64,84,65,81,64,87,69,81,62,85,69,78,63,83,64,74,63,84,67,73,63,84,67,78,63,84,69,81,63,84,67,77,63,86,65,69,61,81,69,79,63,80,64,73,61,78,63,69,61,73,61,64,61,73,63,64,61,71,61,68,61,72,61,65,61,73,63,65
73,89,84,84,68,89,83,86,71,89,74,83,71,89,82,89,73,90,83,89,75,89,81,89,75,89,81,89,73,89,81,88,75,89,84,89,75,89,80,87,71,89,80,86,71,89,75,88,71,89,72,86,73,89,75,89,70,89,80,86,73,89,76,88,74,56,43,63,85,57,36,46,63,50,46,63,76,60,57,71,90,67,62,72,90,65,57,68,90,63,51,63,81,61,57,65,86,61,53,65,86,61,50,63,82,57,47,62,73,92,89,89,65,90,89,91,88,91,74,81,67,86,65,71,61,71,63,71,62,73,63,69,63,80,65,73,63,75,65,70,62,74,63,66,62,71,63,66,62,74,63,71,63,80,66,73,63,75,63,73,63,75,63,68,63,73,63,65,61,67,61,66,61,72,63,66,61,73,65,71,63,81,65,67,62,78,65,73,62,75,63,68,63,78,65,70,63,73,65,72,62,71,63,66,63,77,63,68,63,80,65,71,63,77,64,73,63,80,65,69,63,80,65,73,63,77,63,74,63,75,65,74,63,82,63,70,63,81,65,71,63,74,65,74,63,77,65,70,63,75,65,75,63,80,66,73
64,85,67,68,61,78,70,71,62,83,62,66,62,80,64,72,62,74,64,73,62,76,64,67,62,72,64,69,62,76,62,65,60,69,62,64,60,68,62,64,60,70,60,62,60,66,62,62,60,65,61,62,60,66,60,63,59,64,60,62,60,65,61,63,60,36,35,50,62,36,31,35,56,35,35,49,62,42,36,60,75,60,49,62,75,56,40,59,70,53,36,56,62,43,36,56,67,50,37,59,65,42,38,60,72,49,36,56,64,90,78,79,62,88,88,90,85,88,69,79,62,79,64,65,60,66,62,64,60,70,62,67,62,79,64,74,62,79,64,73,62,79,64,71,62,76,65,74,63,85,66,82,66,88,72,85,69,89,70,82,65,87,69,76,65,86,67,75,63,81,64,73,65,85,71,73,65,86,71,83,66,86,71,82,65,88,74,85,65,85,69,80,66,89,71,80,70,89,73,86,66,86,73,83,68,87,71,81,66,89,66,85,67,87,71,85,66,89,71,86,67,89,79,85,66,89,79,85,70,89,72,83,67,89,73,86,66,89,71,85,70,89,72,85,66,87,71,86,66,89,73,81,65,89,71,86
65,86,70,73,63,81,70,80,63,81,65,75,65,86,66,82,65,88,71,83,65,88,71,83,65,87,71,85,66,86,70,77,66,88,69,81,65,87,71,85,66,87,71,79,65,86,71,83,65,87,67,80,68,86,69,83,66,86,68,75,66,89,70,82,66,50,41,63,74,39,36,41,63,43,37,60,73,60,50,63,89,66,61,73,89,63,53,63,86,61,44,57,69,50,40,61,67,52,43,61,74,55,45,61,74,57,41,60,68,91,84,81,63,86,86,90,81,89,65,68,62,68,62,63,57,62,57,60,53,63,57,61,57,63,60,63,57,64,60,63,56,63,60,63,57,63,60,62,57,64,61,63,59,67,63,66,61,73,62,65,61,69,61,63,58,63,57,62,57,63,57,61,57,63,57,63,57,63,61,65,61,73,63,65,60,66,62,66,62,67,61,66,62,71,63,66,61,73,63,66,62,71,63,65,62,72,63,66,63,73,63,71,62,73,65,70,61,77,63,69,63,75,63,71,63,73,65,71,63,77,65,72,63,77,63,73,63,75,65,74,62,74,65,73,63,80,63,70,63,74,65,73,63,79,65,75
66,89,72,81,65,83,74,83,66,85,71,82,65,89,71,79,66,89,72,83,70,89,72,83,67,89,74,81,66,89,72,83,66,86,72,80,65,87,71,81,66,86,66,81,65,86,67,81,65,83,66,75,63,83,66,72,63,83,65,72,63,77,65,69,62,39,36,57,63,39,36,36,57,38,36,57,65,42,37,61,75,62,56,63,80,57,46,63,71,51,37,57,65,43,37,56,65,43,37,57,65,45,37,57,65,41,36,56,63,89,71,69,61,84,83,89,74,86,63,66,62,67,61,62,55,63,57,61,57,65,57,63,61,66,61,65,62,72,63,65,61,70,63,65,61,69,63,65,61,75,63,69,63,75,65,70,63,80,65,73,63,76,65,70,63,75,63,66,62,75,63,66,63,80,63,69,63,79,65,75,63,80,65,73,63,81,65,75,63,76,65,74,63,81,65,67,63,80,66,73,63,80,65,71,63,75,65,72,63,80,65,76,65,80,65,71,65,83,65,73,65,81,66,75,63,82,66,72,65,83,65,76,65,81,64,75,62,79,64,71,64,84,65,77,64,82,64,75,64,84,65,75,62,80,65,77
